	Username	Id	Tweet	Location
32	LuzAlaniz_	2686274094	RT @elestimulo: Italia supera 4.000 muertos por coronavirus con 627 decesos en un día https://t.co/VtJjUuP66A https://t.co/yAOK6LKv3N	
33	Gary_Duff	58631360	"RT @NAChristakis: Converting gyms to wards: preparing for a pandemic. 
1918 Influenza pandemic at @IowaStateU 
2020 Coronavirus pandemic at…"	New York, NY
34	tatupaltri	223468153	RT @Renu_Cipponeri: Mi vieja que labura en la guardia con casos de coronavirus vuelve desesperada pq necesitan tests para hacerle a todo el…	
35	DougFoley6	1019728915156295680	"RT @tribelaw: Habeas corpus!

https://t.co/aXoXKmO7IR -"	Colorado 
36	rjber15	48219360	RT @UN_Women: Today, on #WorldWaterDay💧, join the #SafeHands challenge to promote the power of washing your hands in the fight against #cor…	Wichita, Kansas
37	ViaderJulian	960198974543159296	RT @elintransigente: En medio de la #cuarentena por el #coronavirus, @jlespert y @alfredocornejo se enfrentaron en #Twitter: https://t.co/0…	Buenos Aires, Argentina
38	kaylena68	3167718214	"RT @RyanAFournier: Fact:

Under President Trump, the process of getting a coronavirus vaccine into testing has occurred at one of the FASTE…"	Pendleton IN
39	lacandon4	333740703	"RT @WRadioguate: Miren esta belleza.
#coronavirus https://t.co/8q8xpUafgB"	Guatemala
40	TomYoun95483151	977697960111804416	RT @Thomas1774Paine: Boy, 7, uses $600 of savings to make coronavirus care packages for seniors, feed 90 students https://t.co/aWBiEx0RZ4	Alamogordo, NM
41	msn_uno	1529458460	RT @elheraldoco: #AlertaCoronavirus | Colombia confirma primera muerte por coronavirus. Las autoridades sanitarias confirman que paciente d…	Barranquilla, Atlántico
42	Jose_Pe_Romero	196823893	RT @EricaaSanchez: El audio que indica que hay un caso positivo de Coronavirus en Comodoro es FALSO. Aún se aguarda resultado del Instituto…	.
43	KlineB9	1046027405297680386	RT @CityOfFriscoTx: (March 21, 2020) A 61-year-old Frisco man, with no reported travel, is one of 4 new cases of COVID-19 reported  by Coll…	Frisco, TX
44	bernard_aubree	843001322072920064	RT @DominiqueLUNEL: 📢Scandale d État et mensonges le 26 février 2020 au Sénat 🦠Coronavirus : « Il n’y pas de sujet de pénurie » de masques,…	Port-Louis, France
45	aiqbalxo	523957555	RT @stayfrea_: News don’t even tell us the weather nomore they be like good morning CORONAVIRUS	NYC 
46	shvmypz	1852513489	si el coronavirus fuera por estornudar sabrá Dios donde estaría yo porque mira que la puta alergia es seria	
47	86Vinod	130184078	@narendramodi PM sir plz imposed proper lockdown  if we want india to stay away from worst #coronavirus  situation.. 14 hour janta curfew is good sign but still there are many people who can't understand dangerous situation coming at our way.. India need more than 20 days lockdown to stay safe	Chandigarh
48	Angelabeaty3	1154119318969475072	"RT @HillaryClinton: The Trump administration was told in January that coronavirus was likely to become a pandemic. 

They refused to act fo…"	
49	DazAltTheory	602910095	RT @jenniferatntd: I wish you won't throw up while watching this host promising the world salvation. After all, #CCP is now the only Savior…	Liverpool [UK]
50	Ajeetyadav788	3285669169	RT @UrmileshJ: सरकार अपने फैसले पर पुनर्विचार करे, प्लीज़! निजीलैब्स को न्यूनतम राशि में जांच करने को कहे या वैश्विक आपदा में अपना फ़र्ज़ स…	Izari jalalpur Jaunpur, India
51	dir1957	2608804058	RT @ScottGottliebMD: LabCorp says it's now able to perform more than 20,000 #COVID19 tests per day. The public health minded people of that…	McKinney, TX
52	hector009	33121565	RT @sopitas: ¡ENORMES! Ferrari deja las pistas por un momento, y se une para ayudar a fabricar respiradores artificiales y así combatir des…	MID
53	SherryLynneGuid	1548708511	RT @ABCWorldNews: STILL CELEBRATING: @DavidMuir with the images from across America as family and friends separated by the coronavirus are…	Welsh,USA
54	amit94325307	1014355824448188417	RT @ANI: The special Air India flight carrying 263 Indian students that took off from Rome has landed at Delhi airport. #Coronavirus https:…	Haryana, India
55	evrardo_orsini	774960960696188929	"RT @VNotKind: I RICERCATORI TOP SCIENTISTS BRITANNICI METTONO IN GUARDIA LA POPOLAZIONE ANZIANA

""Chi  ha fatto il vaccino per l'influenza…"	
56	andimlaurenn	896624516117532672	"RT @ASlavitt: BREAKING: New real time Coronavirus cases. What you are doing is working.

San Francisco put in place strict #StayHome measur…"	New York, NY | Cleveland, OH
57	ktheshrew	2992849735	RT @KatiePavlich: Governor Cuomo touting malaria drug as potential treatment for Wuhan coronavirus. Will the media skewer him for offering…	
58	Riohauss	1864097372	RT @BlackBird4433: 一诊所雇员在3月10日感觉不适，怀疑感染了新冠病毒。由于症状轻微，她没舍得用诊所仅有的几个试剂。但由于症状没有缓解，她最终于16日做了测试。19日她告诉男友感觉自己肺里不对劲，但状态尚可，两人还一起遛了狗。第二天，男友到她家，发现她已经死在…	United States
59	tucksgal	623281126	RT @MichaelSteele: NO!! This is NOT a slope we want to get on. Suspending Constitutional Rights!? With this crew?!  OH HELL NO! https://t.c…	
60	robertomondelo	569984089	Governo chinês admite falha na resposta à epidemia do novo coronavírus | Mundo | G1 https://t.co/rrtiuXktnw	Santos/São Paulo
61	KevinGonzalez86	927703355618709504	@marcelobeltrann sii, cuando pase todo esto del coronavirus arreglamos porque por videollamada no da jajajja	Neuquén, Argentina
62	AquilinoRamos4	1222040138919759872	"RT @SaraCarterDC: Tucker Carlson: 

The #coronavirus pandemic was avoidable. #China hid the truth about it from the beginning 
 https://t.c…"	
63	amrielnor_	2221009524	RT @TCChoco: Me and my best friend reuniting once coronavirus has disappeared	
64	bigtimeluisa	293159194	RT @verge: This toilet paper calculator lets you know how long your bathroom stash will last https://t.co/SNxEpgtrHy https://t.co/JAMnu6rOGn	broom closet
65	The_Twenty_Two	2869901107	RT @markmobility: BREAKING: U.S. hospitals are warning that they are so strapped for cash that without some financial relief, they will be…	From the ATL to OK
66	JorgeBa50518715	1058006599766294528	RT @prevtrabalho: 📣 Coronavírus: outra medida do governo federal é passar valores não sacados do PIS/Pasep para o FGTS. https://t.co/zZCUEp…	São Paulo, Brasil
67	er_villamars	271060184	RT @aciprensa: Quienes deseen atención espiritual y estén ingresados en los hospitales en la @DiocesisGetafe podrán solicitar que un capell…	
68	Rellyluvsfairen	110757159	"RT @MichaelJGwin: 🚨🚨

""Health-agency officials and outside advisers to the administration ... described a chaotic situation in which leader…"	Pennsylvania, USA
69	Edgarfcb8	219741948	RT @CNNEE: Según las autoridades de El Salvador, la persona que no cumpla la cuarentena domiciliar será detenida y llevada a un centro de c…	Gotham City
70	Yuliiana05	910340856007282690	RT @diamevillalba: Primer caso de coronavirus en santa fe, QUEDENSE EN CASA LA RE CAJETA DE SUS PUTAS MADRES🙏🙏. CUIDEMOSNO ENTRE TODOSSSSSS	Santa Fe, Argentina
71	angiekaye999	44196464	RT @Thomas1774Paine: Bayer donates millions of tablets of malaria drug that could fight coronavirus to U.S. government https://t.co/lz5Gw7Q…	Texas, USA
72	Erikavvasquez_	238011352	RT @mitiatere: El coronavirus ya puso presidenta.	Bogotá, DC, Colombia
73	multirouke	2394243553	"RT @OH_mes2: 98 new cases of Coronavirus in Korea 

There are now 8,887 total cases in Korea

There have been 104 deaths related to Coronav…"	danjjak land
74	nyck_77	51953489	RT @AIertaNews24: 🇦🇷 | URGENTE - CORONAVIRUS: Grupo de feministas no respetó la cuarentena y decidieron salir a marchar. 24 mujeres dieron…	DF
75	zaidrazamonis92	2907501343	"RT @SalmanP58: @narendramodi pahle jo Coronavirus se pidit hai unka ilaaj karo..

Coronavirus ko mitane ki dawa banao .?

sanitiser pure dE…"	Mangal Garh
76	mouth_farts	806231861341065216	RT @SarahKSilverman: Bernie’s daily emails no longer raise $ for his campaign but 4 $ 4: Meals on Wheels, No Kid Hungry, Community Foundati…	United States
77	Gusbrisado	709876868	"RT @felipeneto: Número de mortes por dia na Itália não para de subir.

Nos últimos dias, esses foram os números oficiais de mortes causadas…"	Praia Grande, Rio de Janeiro 
78	mh_b	112591118	It’s Dangerous to Be Ruled by Fear https://t.co/jzm9s8BoBF	Top of the South Island, New Zealand, South Pacific.
79	YvanFrancoR	489007359	"Hijo de Elvis Amoroso contrae #COVIDー19 en fiesta que fue disuelta en #LosRoques

Información de la Organización Mundial de la Salud @opsoms sobre el #Coronavirus Chino:

1) Consejos: https://t.co/al1Oh4RjWd 

2) Medidas de Prevención: https://t.co/ExaaZq2w8r

4/5"	Vargas, Venezuela
80	real_indian1910	1214404006661017600	"RT @OpIndia_in: ""हाथ मिलाने से मोहब्बत बढ़ती है यार, इससे बीमारी नहीं फैलती।""

""आज सुन्नत छोड़ रहे हो, कल को मौत के डर से इस्लाम छोड़ देंगे…"	भारत
81	jacobcgaspar	251790313	@Lil_TK21’s version of “if I could fly” will END coronavirus!	United States
82	Poopchik	1072644366995464194	"RT @ErikSolheim: Bravo!
South Korea 🇰🇷 has set up ‘phone booths’ that can test people for the coronavirus in just 7 minutes. The country ha…"	
83	DLind	14471411	RT @Alixhar: Mexico recognizes as elusively as it can that it'll start receiving Hondurans, Salvadorans and Guatemalans sent back to Mexico…	Washington, DC
84	JoseFelipe1213	268673911	"RT @9NewsSyd: Several backpackers who were staying near Sydney's famous Bondi Beach have tested positive for COVID-19. #9News
https://t.co/…"	Bucaramanga
85	KRONTROL	2429024293	RT @RandPaul: We absolutely must, must, resist government run amok taking advantage of a crisis.  This is how your liberty dies. Stand up A…	
86	anittayoulive	1686532482	"RT @looosk211: o coronavirus tentando me pegar:

#BBB20 #festabbb https://t.co/qv6NFzuulB"	Brasil
87	bidwai_sujata	1147336074060079105	Coronavirus India updates: Coronavirus cases surpasses 300 in India, death toll reaches 5 https://t.co/ExurnlKslx	
88	itsbarbarac_	255165668	"RT @felipepriorofc: O coronavírus quando sofreu a mutação #BBB20

https://t.co/7lY22EeBMn"	Brasília, Brasil
89	leon47876543	875027909949480960	RT @Moluskein: LOS QUE SABEN DE ESTO ¿ Esto es NORMAL ? #CoronaVirus 🦠 https://t.co/TPeBK7Ri1j	New Jersey, USA
90	RelaxInThailand	721072513	RT @theage: BREAKING: Victorian schools closed from Tuesday in drastic bid to curb coronavirus spread https://t.co/eAhhh8K6Nm	
91	cjdabney1	344950041	RT @funder: Trump blames China for his slow response to coronavirus. Then says Dr. Fauci would liked to have known earlier from China about…	Minnesota 
92	TrippMcCoy	2629407610	RT @SenMikeLee: OVER MY DEAD BODY https://t.co/B8BRbvRDDa	Charlotte, NC
93	mtagpumas	190033204	"RT @GobBCS: #ParaCompartir❗
El #coronavirus #COVID19 puede sobrevivir en los papeles durante 5 días. Lavarse las manos constantemente es im…"	la paz bcsur
94	jumpsuit666	167115346	quiero que acabe el coronavirus	
95	CrystaleBarrett	891007435711815680	"RT @thegarygraham: This will be the last straw. 
https://t.co/7Hhkoz3BNz"	California, USA
96	GemitaOsorio1	2392908365	"RT @alejandramatus: Hospitales recibieron documento titulado ""protocolo manejo cadáveres coronavirus"" y comenzó compra de bolsas mortuorias…"	
97	nitabirdonit	831479517868855307	"RT @PatrickAKarlson: Repeat this to yourself everyday until the election:

Donald Trump fired the U.S. pandemic response team, refused free…"	Northern IL, USA
98	soy_huaso	1205247824	"RT @javi_mallea: A aprender un poquito de esto del CORONAVIRUS 🦠 
“ Todo va a estar bien” https://t.co/VCq8NHlHyz"	La Plata, Argentina
99	barrybunin	22340001	https://t.co/OKUQexKb5V	Burlingame, CA
