Username,Id,Tweet,Location
cptnhwa,1676401854,"RT @DraculaFetus: ""It's your favorite scary movie, remember? He had on the white mask, he stalked the babysitters!"" 👻 https://t.co/h8u5HuRE…",abandoned house
heather_anne_c,898650671049834501,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Cape Cod MA
Tatiana57364057,1050908635252097024,RT @MaskedSingerFOX: Who's your favorite Group C mask? 🎭 #TheMaskedSinger,"Philadelphia, Pennsylvania"
MudblodCatholic,1283914802,"mask, but make it twee https://t.co/15kAokeYn1","Baltimore, MD"
lolalolajoaquin,861268464308244481,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,#handmarkedpaperballots.
egba_micah,1174100345615769600,You can imagine. And alabo according to @Iam_Mac_Daniel  was laughing,Yenagoa
BlackBulletTeam,754309789363138560,RT @tudzaa: I'm just chilling at home about to remove my face mask to eat this plate of sadza https://t.co/fgUyTMnV5O,"Estcourt, South Africa"
michael_legero,1041836885205762048,"RT @mgrant76308: 'Shortage starts with them. Explain it Joe!'
If the finger points to Obama, the media looks the other way.

https://t.co/l…","Kansas, USA"
FvckLaDarin_,397808937,LMFAAAOOOO 🤣🤣🤣🤣,"RIP Ebony, 1/28/90-4/16/18"
DameloAsi,3374879901,@MatteHoT @LexBangXXX I wish that was me in that mask.,"New York, USA"
oh_my_god,14469989,Just shipped out two boxes of luxury mask. I hope they don't get blocked by government for private usages. https://t.co/sUbLpgzHkU,Mother Nature
ThatsLissy,271396688,When will people realize mask and gloves are not going to prevent you from getting the Coronavirus..,htx.
mcfactorial,241506349,RT @toy_osii: Please who will explain to Nigeria parent  like this 😣😣😣i told dad to get his nose mask and glove he said God will protect hi…,nigeria
Gadgetoid,34243252,@ryanteck @prettygreentea I have a mask and gloves and I’m sure I could find some clothes I’m comfortable with burning on my return...,"Sheffield, England"
Returnofsimba_,2801393677,How myke towers still a hunny with a mask on wow,The Moon
nizarus,74883907,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Sayada, Tunisia"
jolielabelle777,22143973,"WATCH: Mask-Wearing man licks fingers, wipes them on bar on Belgium subway https://t.co/Kah2rRlGpk via @YouTube",USA
evolutionarypsy,210226021,@its_tew Wear a mask,Massachusetts via Texas
JulioTMaker,860952354690146306,Im BACK! Time to RAGE! | Cuphead pt.1 | !facemask !discord !merch https://t.co/Ihc9iMyIp0,"West Palm Beach, FL"
LFedora3,746856376849162244,Just a reminder that Ski Mask is a better freestyler than Juice WRLD,"Shitsville, Texas"
SN_Bender,1065038881,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Enola, PA"
CanisAzureus,279300611,"He speaks like a true shill, let him take off his mask","California, USA"
ggbourne,12319722,"@PaulLomax Well, in Japan, HK, Korea it is cultural to wear a mask / change behaviour if you have any illness at all.","London, England"
