	Username	Id	Tweet	Location
80	AdityaS16317174	1038500020343861248	"RT @HimanshuNeb: US passed #coronavirus relief package law
U.K. unveils $400 billion lifeline for firms hit by COVID-19 meltdown
Germany ha…"	Shimla
81	kysparadox	3054333217	RT @snackvampire: When covid 19 began hitting South Korea hard, South Korean celebrities came forward every day to donate money to the nati…	
82	TerengganuNews	868778753836568578	RT @nusantaradaily: COVID-19: Pasukan petugas khas polis Sabah pantau berita palsu https://t.co/O5OI9l6XOq	Kuala Lumpur
83	LazzarottoMa	773352553601830913	RT @El_Universal_Mx: #CrónicasdelCoronavirus Azafack, de 23 años, cuenta que llegó hace un mes a Reynosa para solicitar asilo político http…	
84	OzDF	261521611	RT @GobiernoMX: Respetamos la decisión de otros países pero en México no habrá toque de queda ni restricción a las libertades para contener…	México
85	BlackSwan777	100812578	RT @smart_MS3: I was tested 5 days ago and the results came back tonight, which were positive. Ive been self quarantined since the test, th…	Metropolitan, SC
86	GabanAiman	998171262785540096	RT @carterforva: I'm old enough to remember when Joe Biden said Italy has a universal healthcare system and they're struggling with COVID-1…	Kuala Lumpur
87	Abel_LS89	411294414	RT @AguadePuebla: En #AguaDePuebla💧 hemos activado un Plan de Acción Contingente ante la situación que enfrentamos por el COVID-19, para mi…	Ciudad de Puebla 🇲🇽
88	sasaitg	351989449	RT @llalame_: แก!! บุรีรัมย์​คือแน่มาก​ ตรวจเข้มมาก​ ไม่ว่ารถไหนเข้าเขตบุรีรัมย์​คือต้องเจอตรวจทุกคัน​ ตรวจทุกคน!! ​ โชว์​บัตรปชช. ถ่ายรูปเ…	Everywhere
89	TAlmeida_csc	887820444778344449	"@maisanablogo Egoístas, egocêntricos. 

Vejo pessoas ""esclarecidas"" não levarem a sério o COVID-19

Absurdo."	Fortaleza, Brasil
90	razul6464	247808204	"RT @El_Ciudadano: La incoherencia del Gobierno para enfrentar el Coronavirus en una potente imagen. 

Via @la_otraeducacion 
#CuarentenaTot…"	La Florida, Metropolitana de S
91	yazpakuk5	750437677338533888	@GobiernoMX Buenas noches, quisiera saber cómo es el correo que mandan de Salud, cuando una persona tiene síntomas de covid-19 por favor, me podrán ayudar. Queremos saber si es verídico el correo que tengo de una persona conocida.	
92	MuhdDaryl	439329301	RT @NewsBFM: Indonesia now has the highest COVID-19 death toll in Southeast Asia, after reporting 6 more yesterday which brought its total…	Mont Kiara
93	notsomerrymary	1069118990163869696	RT @TomJChicago: Another Trump atrocity- He lied a/b the FDA approving a drug to treat COVID-19. Raising false hopes, misleading people &amp; t…	
